id;desk_id;type;name;description;creation_date;modification_date
1;43078;LIFTING_DESK;Clothing;Granite Wisconsin;2020-03-31T03:59:33;2020-03-31T12:33:45
2;6439;LIFTING_DESK_OVERLAY;content;Savings Account;2020-03-30T19:38:50;2020-03-30T22:46:54
3;77303;LIFTING_DESK_OVERLAY;solid state Kenya Mexican Peso Mexican Unidad de Inversion (UDI);Rubber Metal;2020-03-31T09:53:37;2020-03-30T21:22:42
4;53254;LIFTING_DESK_OVERLAY;Functionality Operative;Product;2020-03-30T18:36:37;2020-03-31T09:22:00
5;12663;LIFTING_DESK_OVERLAY;Jewelery;Rustic Metrics heuristic;2020-03-30T23:40:23;2020-03-30T22:50:23
6;1433;LIFTING_DESK_OVERLAY;Landing Loaf;Gloves port compressing;2020-03-31T06:43:45;2020-03-31T14:30:57
7;37375;LIFTING_DESK;input frictionless;Tunnel;2020-03-31T03:35:14;2020-03-30T18:24:10
8;88293;LIFTING_DESK;synthesize deposit;Configuration Practical;2020-03-30T19:23:19;2020-03-30T17:12:44
9;78534;LIFTING_DESK_OVERLAY;Savings Account Handmade;Savings Account Fresh Object-based;2020-03-31T01:21:43;2020-03-30T21:34:05
10;26149;LIFTING_DESK;maroon;mesh cyan;2020-03-30T19:06:39;2020-03-30T22:54:31
